servico,price,Estado,Cidade
pet_sitting,30.0,SP,Hortolândia
pet_sitting,50.0,ES,São Mateus
pet_sitting,60.0,CE,Fortaleza
pet_sitting,50.0,SC,Itajaí
pet_sitting,30.0,SC,Florianopolis
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,40.0,PR,Curitiba
pet_sitting,30.0,SP,Praia Grande
pet_sitting,30.0,PR,Curitiba
pet_sitting,30.0,SC,Joinville
pet_sitting,40.0,SP,Limeira
pet_sitting,28.0,SP,Guarulhos
pet_sitting,70.0,SP,Santo_Andre
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,30.0,RS,Alvorada
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,60.0,SP,Sao Paulo
pet_sitting,20.0,SP,Santos
pet_sitting,28.0,SP,Campinas
pet_sitting,40.0,SP,Sao Paulo
pet_sitting,50.0,SP,Sao Paulo
pet_sitting,50.0,SP,Santo_Andre
pet_sitting,45.0,RJ,Rio De Janeiro
pet_sitting,30.0,SC,Joinville
